50,100,10
50,150,10
50,205,10
50,250,10
50,295,10
50,340,10
50,385,10
50,430,10
50,480,10
100,480,10
150,480,10
200,480,10
250,480,10
300,480,10
345,480,10
425,480,10
470,480,10
519,480,10
564,480,10
613,480,10
665,480,10
710,480,10
125,425,10
170,425,10
215,425,10
260,425,10
305,425,10
350,425,10
395,425,10
440,425,10
485,425,10
530,425,10
575,425,10
620,425,10
100,50,10
145,50,10
190,50,10
235,50,10
280,50,10
325,50,10
370,50,10
415,50,10
460,50,10
505,50,10
550,50,10
595,50,10
640,50,10
680,50,10
720,50,10
715,95,10
715,140,10
715,185,10
715,230,10
715,275,10
715,320,10
715,365,10
715,410,10
715,447,10
645,95,10
645,160,10
115,95,10
115,160,10
243,115,10
290,115,10
335,115,10
380,115,10
425,115,10
470,115,10
515,115,10
243,147,10
290,147,10
335,147,10
380,147,10
425,147,10
470,147,10
515,147,10
243,265,10
243,305,10
290,305,10
290,265,10
335,265,10
345,305,10
390,305,10
400,260,10
440,260,10
480,260,10
520,260,10
560,260,10
600,260,10
640,260,10
640,310,10
600,310,10
560,310,10
520,310,10
480,310,10
445,310,10
